bpm,rmssd,bsv,sdnn,state;;;;;;;;
82.01993640069027,23.863779304001817,1.40246950087424,34.207766222787505,stress;;;;;;;;les colonnes sont séparées par des virgules
82.01579057806774,53.216523797754554,1.0722150375031285,81.43512481173674,stress;;;;;;;;"pour chaque donnée il y'a  4 paramètres en entrée : bpm; Rmssd, Sdnn et un état qui correspond à stress (stressé) ou rest (non_stressé) "
78.01151488515514,36.07507364114479,0.8205525826926193,52.07788476807252,rest;;;;;;;;
72.0117086374521,50.21926642967387,0.8281328353691351,65.66729953626705,rest;;;;;;;;
60.010047687567614,56.27660710233488,0.7362381260309029,59.57609344733296,rest;;;;;;;;
78.02303503138519,18.81872849474547,0.740228496103125,22.433559832266877,rest;;;;;;;;
68.01238046943858,61.76523537212682,0.5133641060925592,59.21150135422273,rest;;;;;;;;
78.00657074962763,29.75917417436437,0.36557499410710637,26.770833852772594,rest;;;;;;;;
90.01576771367532,19.04868419113617,0.631785952112156,16.566501798995137,rest;;;;;;;;
124.00999537605533,62.495028334355446,0.59506549645292,58.737686625873266,stress;;;;;;;;
76.01074596373192,28.83606802052339,0.4418294059331027,31.015014229045942,rest;;;;;;;;
108.02716108397813,19.982156038237804,1.0318740361626142,30.24955930456211,stress;;;;;;;;
78.01230734438182,22.709337450572004,0.9084218439325649,36.389819223961005,stress;;;;;;;;
122.0145200524589,62.996000200805,0.5245976388314076,58.83569100722497,stress;;;;;;;;
82.01698036476353,18.830351858817828,1.2211233248620246,26.269162057636688,stress;;;;;;;;
94.01502622121441,16.4904816428128,1.3952301517922145,23.760159726153113,stress;;;;;;;;
84.00663952851384,22.160497177793317,0.7671493816130389,37.31717442442194,stress;;;;;;;;
94.01900492819445,18.37328918013296,0.8205067582567461,23.479620680287113,stress;;;;;;;;
84.01586517471017,55.18505269185059,0.9794618294124475,70.99513437362951,rest;;;;;;;;
76.01693129950031,30.657544995189564,0.21156401532318417,20.08745257425826,rest;;;;;;;;
70.00766122734626,44.754583036591235,0.445071968513113,41.90022419976919,rest;;;;;;;;
74.01056847488383,28.30222827344603,0.3065366684403911,21.738316798519918,rest;;;;;;;;
58.011656353534065,49.53341902979829,0.5101369299764464,45.74352987661147,rest;;;;;;;;
78.0147238863536,55.98970089087293,2.6941555965008193,99.00731804010826,stress;;;;;;;;
74.00864665599259,28.225692297359966,0.37367787616494225,21.86924322866869,rest;;;;;;;;
78.01013649091423,18.312943186450532,0.5122962147510742,21.540209725980162,rest;;;;;;;;
68.0061975087073,27.564268241578496,0.6407910211026758,27.097861290971267,rest;;;;;;;;
86.01328043947512,50.99475027532101,1.8547612007923524,68.6460417372428,stress;;;;;;;;
114.02207420450551,62.62250750906609,0.7269445875340592,66.32629304892667,stress;;;;;;;;
68.01457110081645,46.20931855164506,0.26244275571911185,43.319454554657625,rest;;;;;;;;
84.01039805364026,18.904067014120873,1.1144894067527082,30.66181747167386,stress;;;;;;;;
70.01179464676318,51.572438638927466,0.5368082014695964,51.93717721600963,rest;;;;;;;;
116.03010275128933,17.018266147278492,1.3535144674759285,25.701510270958007,stress;;;;;;;;
80.00480044876255,55.36791484302626,1.8145974935935174,93.92504369489936,stress;;;;;;;;
70.01776359134622,76.6239152526188,0.285383114984723,74.91447083185854,rest;;;;;;;;
70.00277442801851,24.604899039347547,0.6035885816731079,28.176658985734562,rest;;;;;;;;
86.02857908117105,49.926349330907144,1.953736722848481,68.32296468272982,stress;;;;;;;;
76.01411372613099,24.587920177346913,0.3277957563916856,16.90271570218533,rest;;;;;;;;
54.01327826767508,75.84952636340614,0.5095531368914901,62.56889993195726,rest;;;;;;;;
80.00938016872603,21.235280838146934,0.7266559084274314,28.96246681791459,rest;;;;;;;;
124.01687047300248,62.78080358668886,0.581491785522878,59.3415185390792,stress;;;;;;;;
76.01205037737644,28.486001700838237,0.31582197917027305,21.98657796666653,rest;;;;;;;;
76.0155149337015,29.80179878826252,0.3243965689549797,29.87090488836113,rest;;;;;;;;
58.011768407824604,77.28985777187846,0.36812269804438585,78.41809974035203,rest;;;;;;;;
56.01408575138525,74.69588290153636,0.2603660877998673,61.22311612042982,rest;;;;;;;;
66.00803978616209,64.73460021796262,0.4739550066961617,66.28102130796698,rest;;;;;;;;
86.02114140031978,22.150623617055633,0.7937852349841696,28.426171633398152,stress;;;;;;;;
94.02137108830202,14.22427276073564,1.5756349403301948,23.088707244991994,stress;;;;;;;;
68.00084792240769,51.80615895267477,0.2872697955389591,53.33054845960951,rest;;;;;;;;
92.01392467144012,22.968137611486515,1.327706315802939,57.97026623847295,stress;;;;;;;;
84.01787871297533,41.724238189559756,1.5738024204251093,66.24068910970723,stress;;;;;;;;
84.02501736681151,19.059951866400787,0.8391365197634723,31.749852880373396,stress;;;;;;;;
88.02328229650952,32.873944920526505,0.899390524633168,37.65757590606636,rest;;;;;;;;
58.009467462093106,79.28040276375523,0.7224564495849107,90.12438969179877,rest;;;;;;;;
74.00536032401729,30.323983246724442,0.23273065794198858,19.944437175403664,rest;;;;;;;;
84.02593316328046,50.65153287926735,1.2190497169486385,66.93472329087763,stress;;;;;;;;
